iter	Passed	Remaining
0	20	10407
1	39	9828
2	62	10272
3	82	10204
4	102	10122
5	122	10060
6	148	10477
7	170	10477
8	194	10594
9	216	10587
10	237	10578
11	260	10601
12	282	10596
13	306	10630
14	331	10724
15	353	10691
16	379	10781
17	399	10705
18	420	10637
19	442	10631
20	466	10638
21	485	10546
22	531	11019
23	553	10979
24	578	10991
25	599	10929
26	623	10920
27	648	10928
28	677	10999
29	701	10988
30	728	11015
31	748	10948
32	772	10937
33	798	10945
34	830	11035
35	875	11283
36	908	11368
37	943	11466
38	982	11614
39	1014	11669
40	1044	11690
41	1069	11667
42	1094	11634
43	1121	11622
44	1144	11569
45	1164	11497
46	1188	11454
47	1211	11405
48	1239	11411
49	1263	11370
50	1288	11347
51	1317	11353
52	1343	11334
53	1369	11314
54	1392	11266
55	1421	11273
56	1445	11234
57	1473	11228
58	1499	11204
59	1523	11174
60	1546	11131
61	1572	11106
62	1599	11092
63	1623	11057
64	1651	11053
65	1676	11021
66	1702	11003
67	1725	10959
68	1755	10964
69	1819	11176
70	1922	11616
71	1973	11728
72	2023	11836
73	2054	11827
74	2084	11813
75	2115	11801
76	2136	11737
77	2167	11725
78	2189	11670
79	2214	11624
80	2236	11566
81	2258	11513
82	2281	11464
83	2303	11406
84	2329	11372
85	2351	11321
86	2377	11288
87	2402	11247
88	2428	11213
89	2452	11170
90	2476	11132
91	2500	11088
92	2526	11058
93	2555	11037
94	2583	11015
95	2613	10998
96	2634	10946
97	2659	10908
98	2679	10852
99	2700	10801
100	2723	10757
101	2744	10708
102	2765	10660
103	2790	10627
104	2814	10588
105	2840	10556
106	2862	10513
107	2888	10485
108	2914	10454
109	2940	10423
110	2960	10375
111	2981	10327
112	3007	10299
113	3028	10255
114	3055	10230
115	3078	10192
116	3104	10161
117	3123	10110
118	3143	10063
119	3167	10028
120	3186	9981
121	3207	9937
122	3228	9894
123	3252	9861
124	3272	9817
125	3291	9770
126	3314	9734
127	3337	9699
128	3356	9654
129	3375	9608
130	3397	9570
131	3420	9534
132	3441	9496
133	3464	9461
134	3483	9418
135	3502	9374
136	3522	9332
137	3541	9290
138	3560	9246
139	3580	9207
140	3599	9164
141	3620	9128
142	3645	9100
